item's link,item's name,Hero name,Type of the item,item's price,min price,max price,avg price,buys call
https://market.dota2.net/item/5061407183-1625510296-The%20Abscesserator/,The Abscesserator,Pudge,Оружие,299  ,200 ,394.79 ,312.23 ,500+
https://market.dota2.net/item/1880238739-57949762-Hydrakan%20Latch/,Hydrakan Latch,Slark,Immortal StandardОружие,234  ,150 ,269.21 ,229.82 ,500+
https://market.dota2.net/item/519295759-93973071-Genuine%20Weather%20Rain/,None,None,Weather,213  ,100 ,236.65 ,208.8 ,500+
https://market.dota2.net/item/1814257183-57949762-Crown%20of%20Tears/,Crown of Tears,Morphling,Immortal StandardГолова,220  ,38.22 ,77.19 ,56.99 ,500+
https://market.dota2.net/item/3266278434-57949762-Reaper%27s%20Wreath/,Reaper's Wreath,Drow Ranger,Оружие,427.3  ,279.38 ,399.99 ,368.61 ,500+
https://market.dota2.net/item/3343608168-57939888-Apogee%20of%20the%20Guardian%20Flame/,Apogee of the Guardian Flame,Ember Spirit,Плечи,300  ,150 ,345.54 ,259.45 ,500+
https://market.dota2.net/item/519295696-93973071-Genuine%20Weather%20Moonbeam/,None,None,Mythical GenuineWeather,220  ,68 ,129.48 ,99.18 ,500+
https://market.dota2.net/item/5061219111-1625510296-Dipper%20the%20Destroyer/,Dipper the Destroyer,Ursa,Спина,320  ,174 ,240.99 ,213.58 ,500+
https://market.dota2.net/item/2457164243-57949762-Origins%20of%20Faith/,Origins of Faith,Antimage,Броня,550  ,285.02 ,450 ,361.27 ,500+
https://market.dota2.net/item/996780770-502632095-Arms%20of%20Desolation/,Arms of Desolation,Shadow Fiend,Руки,509  ,399.2 ,553.52 ,483.43 ,500+
https://market.dota2.net/item/1814256466-57949762-Pale%20Augur/,Pale Augur,Undying,Immortal StandardРуки,150.61  ,29.58 ,52.43 ,45.07 ,500+
https://market.dota2.net/item/2974022693-57949762-Gimlek%20Decanter/,Gimlek Decanter,Ogre Magi,Оружие,325.69  ,106 ,224 ,145.01 ,500+
https://market.dota2.net/item/2974022688-57939888-Crux%20of%20Perplex/,Crux of Perplex,Rubick,Плечи,260.1  ,177.97 ,324.57 ,244.92 ,500+
https://market.dota2.net/item/1880238948-57949762-Auspice%20of%20the%20Whyrlegyge/,Auspice of the Whyrlegyge,Ogre Magi,Immortal StandardСпина,257.69  ,64 ,257.69 ,141.72 ,500+
https://market.dota2.net/item/4581312393-57949762-Lineage%20Delights%20of%20Petaluna/,Lineage Delights of Petaluna,Dazzle,Н/Д,220  ,8.03 ,29.98 ,16.95 ,500+
https://market.dota2.net/item/957082170-948149725-World%20Chasm%20Artifact/,World Chasm Artifact,Enigma,Руки,415.63  ,322.58 ,531.42 ,440.58 ,500+
https://market.dota2.net/item/3481251697-57949762-Piscean%20Pulverizer/,Piscean Pulverizer,Tusk,Руки,255.07  ,45 ,94.99 ,75.48 ,500+
https://market.dota2.net/item/1506968049-948149725-Taunt%3A%20Funk%20of%20the%20Dead/,Taunt: Funk of the Dead,Undying,Rare StandardНасмешка,110.42  ,30.74 ,51.4 ,43.05 ,500+
https://market.dota2.net/item/949859263-253032557-Iron%20Surge/,Iron Surge,Spirit Breaker,Голова,246.25  ,56.8 ,108.75 ,84.62 ,500+
https://market.dota2.net/item/4672398791-1625510296-Soul%20Corpulence%20-%20Shoulder/,Soul Corpulence - Shoulder,Shadow Fiend,Плечи,290  ,153.59 ,358 ,254.78 ,500+
https://market.dota2.net/item/2457163548-57949762-Bracers%20of%20Aeons/,Bracers of Aeons,Faceless Void,Руки,386  ,150 ,405.04 ,353.35 ,500+
https://market.dota2.net/item/2974022691-57949762-Cult%20of%20Aktok/,Cult of Aktok,Venomancer,Голова,215.95  ,153.33 ,257.24 ,219.62 ,500+
https://market.dota2.net/item/2457165324-0-Magus%20Accord/,Magus Accord,Invoker,Руки,790  ,515.03 ,674.41 ,600.41 ,500+
https://market.dota2.net/item/3354392247-1625510296-Jagged%20Honor%20Mask/,Jagged Honor Mask,Juggernaut,Голова,301.99  ,146.66 ,327.3 ,204.7 ,500+
https://market.dota2.net/item/2974024424-57949762-Mask%20of%20the%20Confidant/,Mask of the Confidant,None,Голова,177.46  ,50.19 ,112.1 ,81.99 ,500+
https://market.dota2.net/item/2974024428-57949762-Glaive%20of%20Oscilla/,Glaive of Oscilla,Silencer,Оружие,330.82  ,238.4 ,349.44 ,312.28 ,500+
https://market.dota2.net/item/4480662399-1625510296-Hidden%20Vector%20-%20Blade/,Hidden Vector - Blade,Void_spirit,Оружие,810.78  ,591.2 ,839.99 ,672.8 ,500+
https://market.dota2.net/item/1899578284-57939888-Ripper%27s%20Reel/,Ripper's Reel,Pudge,Оружие,397.17  ,160 ,456 ,243.2 ,500+
